user,text
themodernsto1c,@POTUS I’m curious to see when you pick up on the fact people are realizing what’s going on. You can’t possibly be… https://t.co/vcwREBGT7x
Kay83917893,@POTUS Jill.  Right then why didn't you stop this from happening to me?
DLBIG58,@POTUS You are the worst president in the history of the United States. You are to stupid to greet people coming in… https://t.co/v0Ep2y974W
RJWest64,@POTUS You killed keystone pipeline Bafunne
HLokatosh,@POTUS @FLOTUS 🙏🙏🙏♥️♥️🇺🇸🇺🇦
ArnelAg20275619,"@POTUS Remember, you said, ""every single household in America.""  I want that too. Affordable high speed internet.   Affordable."
Nirupam28171341,@POTUS https://t.co/IUBC4ScWPA
bstroud80,@POTUS Maybe we could take the vette and upload some documents you stole when you were s Senator? Whyd your chief o… https://t.co/QrVI2suvpv
mcdubious1,@POTUS That's great!  It won't be much longer until your administration (which doesn't control gas prices) backroom… https://t.co/rJYeib3QEy
drumdcp,@POTUS $3.19 at the corner. That’s pretty expensive.
2014KWT680,@POTUS Finish the pipeline you far left liberal tree huggers climate change progressive.
Barbara0625,"@POTUS Stop aggressing on Russia, especially when it gets other peoples countries attacked.  Make a deal addressing… https://t.co/gvlWY0JJQi"
ThomasGuitarPDX,"@POTUS Hey @JoeBiden for some reason, your 82 million votes don't seem to be around? ever! Where are they?"
Traycer76,@POTUS I thought presidents didn't effect gas prices?. Jfc y'all are hard to keep up with.
ButtleyF,@POTUS Gitmo Joe!  Gonna be fighting for a while because you're about to lose YOUR freedom and liberty!
BHernandez3224,@POTUS Lies
ema_hulscher,@POTUS Is this an advertisement for McDonald's??? How about you lower food cost instead??
trace4fl,"@POTUS Well I just paid 3.35 a gallon for gas today, Joe Biden hasn't paid for gas for 40 years! imagine that. We p… https://t.co/FVtHUPJ8Zc"
GiorgioIrving,@POTUS Stop lying and go to sleep. We know better.
J_Tabs17,"@POTUS Bruh, I just want affordable gas and eggs."
McguireGerrard,@POTUS @joebiden how long as long as 1972 in the senate you have been peddling influence for cash from foreign adve… https://t.co/oiHgFrEsWX
MC_Alien1,RT @mschrammbo: @POTUS What happens when they go back up?  Are you going to get on here and take responsibility for that?  Real leaders tak…
PJ052012,@POTUS How to get rid of war mongers Democrats while avoiding Xenophobic Republicans? Anyone has a solution? #USA
GuerinLook,@POTUS There are 2 available jobs for every person your forgetting infrastructure and chip manufacturing everyone w… https://t.co/t6ZBCHSuFv
MoonabSal,@POTUS Stop acting like you care joe biden we can see your intentions and it’s for your political gain
ThrashMetalIQ,@POTUS Nobody does that
MarkLar08907865,"@POTUS Looks like Obama was right, you can f×ck up anything   The minions put you in the white house. Now it looks… https://t.co/acLGcmBX8B"
HLokatosh,@POTUS @FLOTUS 🙏🙏🙏🇺🇸🇺🇦🥰
TMH_News1,@POTUS but they just lose money somewhere else like fuel or groceries so really its nothing..
RuysSherry,RT @CollinRugg: @POTUS You forgot about the part where gas prices skyrocketed from $1.50 to $5 under your Administration.
RZorbackFan,@POTUS https://t.co/xsE3UKxJbT
denyce_thompson,@POTUS You don’t speak for AT&amp;T.
KenRoberts112,RT @CollinRugg: @POTUS You forgot about the part where gas prices skyrocketed from $1.50 to $5 under your Administration.
gunna_40,@POTUS RESIGN RESIGN RESIGN
hansfbaier,@POTUS Putins war? Is this you? https://t.co/Js1rLtWiq2 Do you have memory problems?
markus_cali,@POTUS Real cost is about $50 million
chuksteak,@POTUS Your a disgrace. A failure. You violate your oath as president. You failed as a father and you failed as pre… https://t.co/4AkRkWx9vk
joshuahharris,"@POTUS OMG, wish I would have thought about that during the rolling black outs in CA.  Maybe the food in the fridge… https://t.co/ECSeLM1nRc"
bstroud80,@POTUS Where?
KAWSAR16093891,@POTUS Alas! America. You scattered soilder around the world. They are doing their duties against their payment aga… https://t.co/vhOKY2srL5
ROCHELL78382263,RT @IsabellaMDeLuca: @POTUS I can’t even afford eggs what are you talking about
BadBernie2024,@POTUS Pitiful you STILL blaming Putin for high energy costs? Keep treating the American PEOPLE like we're stupid s… https://t.co/exM5aaFxGH
Billoncho777,@POTUS https://t.co/3BjD5vqWOJ
Dead_Personal,@POTUS Tax by income bracket is more fair than a flat tax for all. This would only punish the poor and make life ea… https://t.co/R72NXyhNAm
CottierTed,"@POTUS Why is homework internet related?   Aw yeah, probably climate change."
ReinaCoronadoR2,@POTUS Ehhhhh..... shut up
BakerMargi,"@POTUS Still so much higher, than when you took office!"
jimigonecrazy,@POTUS No working person should be overtaxed while ppl like you enjoy our fruits of the labor..
Billoncho777,@POTUS https://t.co/FA4UlGcfQF
AthanasiusCM,@POTUS Interesting how everything becomes a natural right that must be paid for via federal taxes. From each accord… https://t.co/snXjPqxEFX
john_barrenger,@POTUS Go Joe.
TomMcCa45839332,@POTUS Bullshit
basedrhylek,"@POTUS maybe if they weren’t paying so much for gas and groceries and such, they’d have money for internet 🤷🏻‍♀️. t… https://t.co/e3EqdpZk5A"
dancer_tucker,@POTUS https://t.co/wyJqgUkkld
mich89233963,@POTUS https://t.co/nODpAT6zYv
xNINAWOOD,@POTUS Is it like upgrading our routers to get cheaper internet service. Or maybe we can save on gas by only drivin… https://t.co/O0CfkqkXXc
dieseltech469,@POTUS Clean energy! With lithium mines in Africa using slave labor and all diesel mining equipment with no emissio… https://t.co/NcqkfYBaua
staskiew1,@POTUS https://t.co/ZaFJKVRU3H
RejiLowEnd,@POTUS No one likes you
RealCryptoTrix,@POTUS You take pride in the past 18 months??? Weird!!!
GrouchyRasputin,"@POTUS Worked for free over a month total now thanks to inflation.  Hey intern, that job paying well?"
waikomokane,"@POTUS Is this the Babylon Bee??? C'mon man, be honest."
LYNDAMEIER2,RT @LPNational: @POTUS No parent should have to go into debt for a carton of eggs.   Abolish the Federal Reserve.
Buzz4913,@POTUS Elections coming up are they.
chungus4569420,@POTUS How I remember January 6th! https://t.co/8tSmCpRjKR
wisdomical,@POTUS We have heard enough just shut the h*** up and hire somebody else
SADewegeliWhite,@POTUS What a dumb post like it still looks like they're up by a dollar and 60 cents. Not down. Work harder
MargoSees,"@POTUS Always racing around the problem...eh, Joe? https://t.co/FoP6FxGEkf"
CoyoteK73,@POTUS I agree. You will be charged with treason and removed from office. Best days indeed.
MC_Alien1,RT @TommyPigott: @POTUS Gas prices are up $1.03 a gallon from when Joe Biden took office.  Biden's administration continues to undermine Am…
waikomokane,@POTUS Who types this BS ?
QDisparity,RT @BoomerMays: @POTUS Instead of worrying about free wifi you need to get to work on the inflation you raised
skyttyl,"@POTUS Look, wifi is nice, but like telephone or TV, it's not a necessity. You can live without it if necessary.… https://t.co/BZwQkix2bs"
Fergi6560,@POTUS https://t.co/JZMmSCnEto
bigjabird,"@POTUS When prices go up you claim to have no control, yet when they go down magically you suddenly claim to have d… https://t.co/7L2d3w9KdA"
MarkoSilberhand,RT @MarkoSilberhand: @POTUS . Enough . . . Enough . . . Enough !  Monterey Park is just the latest of countless #MassShootings . . . ... an…
dailyspread,@POTUS And hearing aids! And tax credits to weatherize your home!
nanjacobsen1,RT @CollinRugg: @POTUS You forgot about the part where gas prices skyrocketed from $1.50 to $5 under your Administration.
gcramer30,@POTUS Good? Good. Got lots to say but that's good.
theceng,@POTUS Yet congress refused a $20 million fund to help with the baby formula shortage. Don't see you doing anything about that
swampdecrial,@POTUS I thought you didn't control gas prices. https://t.co/ICPOy6aN3s
QDisparity,"RT @calebparke: @POTUS Can't afford wifi if we're endlessly funding Ukraine, making inflation worse by the day -- not to mention, skyrocket…"
vincestonis,@POTUS The Liar in Chief has spoken ... now that he has sent trillions of dollars to Ukraine to cover up his corruption.
renegadequark,@POTUS Your administration is a disaster for America. It will take decades to fix all that you have broken.
joelbloggs1,@POTUS You caused the energy crisis bozo. And using up the STRATEGIC oil reserves is anothet stupid idea. They're S… https://t.co/tyYK3SxUJb
BMomma80,"@POTUS Joe, thank you.... Thank you for making me laugh everything you speak or post something. Your nothing but a… https://t.co/pBtSq72TPg"
Mg60615160,@POTUS I thought the president doesn’t control gas prices? It’s what you continued to say when they spiked to $6 a gallon.
empapel,@POTUS Ban assault weapons.
Senshair,"RT @TCDMS99: @POTUS Americans...if spending $400 million on a bridge helps heating, cooling, food, and housing costs...then vote for Democr…"
DonaldGSimpson1,@POTUS Inflation is costing more than $800.00
lishn1112,@POTUS 中国领导人的能力，改变不了这个国家黑暗的一面。也是他们政策落后，和下层人民认知的层面让他们做一些很伤人的行为
DocJohnny1776,RT @JessicaBanner13: @POTUS You sold our strategic oil reserves to China. https://t.co/qnXvSkRXWz
empapel,@POTUS Ban assault weapons.
Samanthar1190,@POTUS YOU ARE A PATHOLOGICAL LIAR.
MarkToth193,@POTUS Your time is coming mr hot pants
uhhhelduderino,@POTUS Does every president just have this tweet sitting in their drafts??
DocJohnny1776,RT @CarrieMyHart: @POTUS https://t.co/la0FlQ84od
DocJohnny1776,RT @CarrieMyHart: @POTUS https://t.co/LXakhCpbEr
joshuahharris,@POTUS The businesses of America are the reason for the economic growth and have more power than you. Lol...  They… https://t.co/gKUujikwfU
ToryScouser,"@POTUS No. You're beginning to nationalize utilities. Which is textbook socialism. You don't want to help, you want… https://t.co/bWXPpENJQ7"
Snowqueen256,"@POTUS Not ours, Brandon."
DonnaJa21788163,RT @CollinRugg: @POTUS You forgot about the part where gas prices skyrocketed from $1.50 to $5 under your Administration.
DetroJones,@POTUS Way to get a hacker from a rural area to flip on you....liessss
GaryPerring5,"@POTUS And you've turned your cities into hell holes, this has now become public knowledge, it's from your own peop… https://t.co/jdvC57b57i"
priorityrus,@POTUS I don't think Biden is as good a person as he would lead you to believe. You know he dislikes fossil fuels.
ElementMan4,@POTUS Hmm. Listen Jack. You need to keep up with technology. There is this thing called Starlink
DocJohnny1776,RT @JessicaBanner13: @POTUS https://t.co/w3OKsErOv2
DavidGRush1,@POTUS Convenient basis for comparison - The Peak.  How about vs when you took office?
D1a2y3Day,@POTUS You have already ruined the economy
JudithKraus3,@POTUS https://t.co/hk1MRipxds
LaosaMarilu,@POTUS Cuban Dictatorship supports Russian invasion to Ukraine. Cuban communist dictatorship violates fundamental H… https://t.co/dpm3d5gQT6
YakWooly,"RT @petejonesintx: @POTUS Keep driving that machine, we all know it’s going to the big guy #BidenCrimeFamilly https://t.co/ilw8eFqQ7I"
mousekahtool,@POTUS At least choose the network that doesn’t require digging and pipes adding that infrastructure is slow… choos… https://t.co/qsP71DhBiw
DocJohnny1776,@POTUS You speak nothing but lies. YOU and YOUR administration are SOLELY responsible for high fuel costs. You crea… https://t.co/EHESr5V9Qw
Timetoeatwater1,@POTUS More empty promises.
Senshair,@POTUS Don’t they pay tolls to cross that bridge? The city charges homeowners taxes.  Where is the money going?  At… https://t.co/hT7a9tSZKp
DeneseS87299995,@POTUS Don’t blame this on Putin.
SaraBrooks55_99,@POTUS Not in my area
fishdogone,@POTUS Makes one wonder if you are even awake?
ryyple,@POTUS Siphoning off OUR emergency oil reserves!
DMSSUPERSTAR16,@POTUS https://t.co/vGslxsNB15
DaniellaRobison,RT @CollinRugg: @POTUS You forgot about the part where gas prices skyrocketed from $1.50 to $5 under your Administration.
BurrisStreaming,@POTUS how many barrels are you selling to china this time. No it's not because of putin it's because of your bad policies.
Nikos_bouz_74,RT @ImSpeaking14: @POTUS No one keeps truth truthful like you. Thank you sir for your commitment to honesty! https://t.co/cI2drvMefs
jorgera67306980,"RT @jorgera67306980: @POTUS  y AMLO continúan con la destrucción de mi casa, por negarme a colaborar con el Presidente de USA. Es posible,…"
ThomasGuitarPDX,@POTUS Check out this view https://t.co/aLOUxPio04
chipolaux,@POTUS Your presidency is like watching “Weekend at Bernie’s” on repeat.. It’s getting tiring.
