user,text
LmWolkenhauer,RT @dlowther715: @SpeakerMcCarthy Kevin McCarthy (R-Invertebrate) $400 haircut on a $2 head. https://t.co/PKoQlVsVEp
LmWolkenhauer,RT @BostonInSouth: @SpeakerMcCarthy https://t.co/Fh8PjcuUiK
Burtylicious,@SpeakerMcCarthy @RepMichaelGuest https://t.co/irFPhVu3pM
Scampi13,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/YDWrvjXZQ2
croblee5072,@SpeakerMcCarthy What have you done this week?
Burtylicious,@SpeakerMcCarthy @RepMichaelGuest https://t.co/pDKV7Px4KK
atomicage,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/WFu6L2aRP0
Burtylicious,@SpeakerMcCarthy @RepMichaelGuest https://t.co/dYfm3S7fPX
atomicage,@SpeakerMcCarthy You support of George Santos is sick and weak. Cut him loose.
Burtylicious,@SpeakerMcCarthy @RepMichaelGuest Why have ALL the Republicans on your Homeland Security Committe asked for pardons???
Science2Educate,@SpeakerMcCarthy @RepMichaelGuest I don't believe a word you say.
DavidGowing55,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/8Yq2CML9IV
rdwnur,@SpeakerMcCarthy Just like you did with George Santos right? 🤡
Brian41675744,@SpeakerMcCarthy That’s a bare faced lie
Moosiemah,@SpeakerMcCarthy starts his first few weeks as Speaker with lies. https://t.co/opQoZEWC4S
ClaussenCheryl,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/oZxYMnB8Uw
BertParksBTC,@SpeakerMcCarthy @RepMichaelGuest The “ethnics committee” is an imaginary committee. It doesn’t exist.
Moosiemah,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/Oy2w2NNcf4
Brian41675744,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/6XmsgTJvrh
Tracy_username,@SpeakerMcCarthy https://t.co/EY9Rs8Xahh
